成分名
(2)-ヘプタデカ-8-エン
(E)-α-イロン
(E)-アネトール
(Z)-α-イロン
(Z)-γ-イロン
"1,8-シネオール"
1.8-シネオール
2.6-ノナジエン-1-オル
3-ペンチルアセトン
4-ジメトキシベンゼン
8-シネオール
8-ヘプタデセン
T-ムロール
cis-3-ヘキセノール
cis-β-ファルネセン
cis-サビネンハイドレート
d-リナロール
d-リモネン
l-メントン
l-メントール
p-サイメン
p-シメン
p-ヒドロキシベンズアルデヒド
p-ヒドロキシベンズメチルエーテル
α-アトランストン
α-オイデスモール
α-カジネン
α-クベノール
α-クルクメン
α-サンタロール
α-ジジナール
α-セドレン
α-ターピネオール
α-ターメロン
α-ツヨン
α-テルピニルアセテート
α-テルピネオール
α-テルピネン
α-ヒマカレン
α-ビサボロールオキサイド
α-ピネン
α-ファルネセン
α-フムレン
α-フルネセン
α-ブルネセン
α-ヨン
β-3-カリオフィレン
β-カリオフィレン
β-サンタロール
β-シメン
β-セスキフェランドレン
β-セドレン
β-ターメロン
β-ヒマカレン
β-ビサボレン
β-ピネン
β-ファルネセン
β-フェランドレン
β-ミルセン
β-ヨノン
β-ヨン
γ-テルピネン
γ-テーピネン
γ-デカラクトン
γ-ヒマカレン
γ-ユーデスモール
δ-3-カリネン
δ-3-カレン
δ-カジネン
δ-カジメン
ρ-クレゾール
ぺリリアアルコール
ぺリルアルデヒド
アニスアルコール
アニスアルデヒド
アニス酸メチル
アネトール
アンゲリカ酸3-メチルペンチル
アンゲリカ酸イソアミル
アンゲリカ酸イソブチル
アンスラニル酸メチル
イソバレンセノール
イソメントン
イブノレシノール
インドール
エストラゴール
エレミシン
オイゲノール
オクタデカン酸
オクタナール
カマズレン
カラメネン
カリオフィレン
カルバクロール
カルボン
カンファー
カンフェン
カンプファー
クシモール
クジモール
クテール
クマリン
クミンアルデヒド
クルクメン
クルゼル
クレセルン
グラニオール
グルマクレンD
ゲラニアール
ゲラニオール
ゲラニ酸
ゲルマクレンD
サビニン
サビネン
サフロール
シス-3-ヘキセノール
シス-ダバノン
シス-リナロールオキサイド
シトラール
シトロネラール
シトロネロール
シナミックアルデヒド
シベロロサ-ヨン
ジアナトール
ジヒドロ-β-ヨノン
ジャスミンラクトン
ジャスモン酸メチル
ジンギベレン
セドロール
ターピネン-4-オール
チモール
ツヨプセン
テルピネン-4-オール
テルピネン-４-オール
テルピノレン
デカナール
デカノール
トランス-β-オクシメン
トランス-オゾメン
トランス-ダバノン
トランス-リナロールオキサイド
トリピネン
ネラール
ネロール
ノナノール
バニリン
パチュリアルコール
パチュレン
ヒノキチオール
ビサボロールオキサイドA
ビリデフロロール
ファルネオール
ファルネセン
ファルネソール
フェニルアセトアルデヒド
フェニルエチルアルコール
フェンコン
フラネユーデスマ・1
"フラネユーデスマ・1,3-ジエン"
フラノイソディスマー-1
"フラノイソディスマー-1,3-ジエン"
フラノグラナクマス-1
"フラノグラナクマス-1,3-ジエン"
フラノジエン
ブルネセン
ヘキサコウ
ヘキサノ酸メチル
ベンジルアルコール
ベンズアルデヒド
ベンゾイン
ボルネオール
ミリスチシン
ミルセン
メチルカビクール
メチルチャビコール
メントン
メントール
リシノール酸メチル
リナリルアセテート
リナロール
リノール酸メチル
リモネン
リンデストレン
ルテオール
レプトスペルレモン
ローズオキサイド
安息香酸プレニル
安息香酸ベンジル
安息香酸メチル
桂皮酸メチル
酢酸α-テルピニル
酢酸オイゲノール
酢酸ゲラニル
酢酸ゲラニール
酢酸シトロネリル
酢酸ドデシル
酢酸ネリル
酢酸ファルネシル
酢酸フェニルエチル
酢酸ベンジル
酢酸ボルニル
酢酸ミルテニル
酢酸リナリル
酢酸酯リナリル
